iter	Logloss
0	0.6863703021
1	0.6796137417
2	0.6742106048
3	0.6673859563
4	0.6625214977
5	0.6577631349
6	0.6530886468
7	0.6481150646
8	0.644690076
9	0.6405279319
10	0.636411448
11	0.6337179629
12	0.6297612212
13	0.6270309519
14	0.6246786834
15	0.6220986999
16	0.6197418213
17	0.6167996189
18	0.6143778925
19	0.611271572
20	0.6088625953
21	0.6064379892
22	0.6039643072
23	0.6022239076
24	0.6000096229
25	0.5974628479
26	0.5953379862
27	0.5932909016
28	0.5913993367
29	0.5895346029
30	0.5877175705
31	0.5858605438
32	0.5845820606
33	0.5830801401
34	0.5811470133
35	0.5794065702
36	0.5781489991
37	0.5763610416
38	0.5742567947
39	0.5724907377
40	0.5708930803
41	0.5692207183
42	0.5680257933
43	0.5659874391
44	0.5644757427
45	0.5623928175
46	0.5608886782
47	0.5587957709
48	0.5574431175
49	0.5553492447
50	0.5537106303
51	0.5521778741
52	0.5501822786
53	0.5487413561
54	0.5477142253
55	0.5461500153
56	0.544456017
57	0.5430131999
58	0.5415806569
59	0.5399579182
60	0.5384339004
61	0.5370243624
62	0.535491596
63	0.5340299338
64	0.5325413154
65	0.5312114507
66	0.530043247
67	0.528462146
68	0.5272340897
69	0.526140496
70	0.5248604973
71	0.5238612792
72	0.5225039759
73	0.5213472032
74	0.519922966
75	0.51863724
76	0.5173371146
77	0.5156804921
78	0.5145054465
79	0.5135681871
80	0.5121989
81	0.5112548575
82	0.5099232201
83	0.5085554976
84	0.5069094398
85	0.5057071137
86	0.5043370454
87	0.5034747863
88	0.5023943604
89	0.5014609794
90	0.5004469992
91	0.4991659443
92	0.4983726929
93	0.4971177108
94	0.4961825872
95	0.4951656727
96	0.4940826259
97	0.4930252764
98	0.4918122219
99	0.4905526736
100	0.489358929
101	0.4879997591
102	0.4872203322
103	0.4862536043
104	0.4853144273
105	0.4841184255
106	0.4831962322
107	0.4823039466
108	0.481423027
109	0.4803114412
110	0.4789836272
111	0.4782752161
112	0.4771990473
113	0.4763395896
114	0.4754177907
115	0.4740191821
116	0.4727322045
117	0.4717379917
118	0.4706444035
119	0.4697024882
120	0.4687405939
121	0.4679149983
122	0.4667852092
123	0.4658664863
124	0.4648072074
125	0.4640155473
126	0.4629774541
127	0.4624911946
128	0.4617777126
129	0.4607314058
130	0.4601195017
131	0.4588682863
132	0.457912248
133	0.4565001836
134	0.4553566687
135	0.4544741996
136	0.4537967899
137	0.453057232
138	0.4518628968
139	0.4506681609
140	0.4497931614
141	0.448403491
142	0.4476375685
143	0.4465728309
144	0.445421748
145	0.4443672863
146	0.4431106713
147	0.4422751228
148	0.4412696144
149	0.4404034168
150	0.4396203039
151	0.4388255812
152	0.4376432785
153	0.4364041435
154	0.4356654462
155	0.4346077606
156	0.4337359224
157	0.4328159462
158	0.4316512758
159	0.4307398235
160	0.4297890444
161	0.4291555636
162	0.4284788654
163	0.4276727007
164	0.426578503
165	0.4256333506
166	0.4246246339
167	0.4239444066
168	0.423100004
169	0.4222555462
170	0.421377801
171	0.4205852275
172	0.4196918066
173	0.4184362928
174	0.4175961354
175	0.416535991
176	0.4154298488
177	0.4147185311
178	0.4138286628
179	0.4129127516
180	0.4121942199
181	0.4113803708
182	0.4103308908
183	0.4090642288
184	0.4082072746
185	0.4071924143
186	0.4060544459
187	0.4055100171
188	0.4045679026
189	0.4038739872
190	0.4026357319
191	0.4018503696
192	0.4010821485
193	0.4003635956
194	0.3993899766
195	0.3987311188
196	0.3981555621
197	0.3971593322
198	0.3962152556
199	0.3952700679
